"","actual_t1_cover","game_id","t1_team","t2_team","pred_t1_cp","pred_t1_cover","actual_t1_win","pred_t1_wp","pred_t1_win","actual_over","pred_op","pred_over","t1_book_spread","book_over_under","week","season","t1_home","neutral_site","t1_conference","t2_conference","t1_moneyline","t2_moneyline","spread_correct","spread_winnings","naive_spread_winnings","cover_confidence","t1_ml_prob","t2_ml_prob","pred_t1_ml_value","pred_t2_ml_value","pred_t1_ml_bet","pred_t2_ml_bet","ml_correct","ml_winnings","naive_ml_winnings","ml_value","ou_correct","ou_winnings","naive_ou_winnings","ou_confidence"
"35",0,401282647,"Clemson","Boston College",0.5667,1,1,0.8448,1,0,0.5665,1,-14.5,46.5,5,2021,1,0,"ACC","ACC",-655,445,0,0,0.954545454545455,0.0667,0.867549668874172,0.18348623853211,-0.0227496688741722,-0.0282862385321101,0,0,0,1,0.576335877862595,-0.0227496688741722,0,0,0.954545454545455,0.0665
"36",0,401309562,"Kent State","Bowling Green",0.6472,1,1,0.939,1,0,0.5051,1,-16.5,56,5,2021,1,0,"Mid-American","Mid-American",-850,550,0,0,0.954545454545455,0.1472,0.894736842105263,0.153846153846154,0.0442631578947368,-0.0928461538461538,1,0,1,1.11764705882353,0.558823529411765,0.0442631578947368,0,0,0.954545454545455,0.00509999999999999
"37",1,401308835,"Miami (OH)","Central Michigan",0.4045,0,1,0.4891,0,0,0.4947,0,1.5,56,5,2021,1,0,"Mid-American","Mid-American",-115,-120,0,0,0.954545454545455,0.0955,0.534883720930233,0.545454545454545,-0.0457837209302325,-0.0345545454545454,0,0,0,1,0.934782608695652,-0.0345545454545454,1,1.90909090909091,0.954545454545455,0.00530000000000003
"38",0,401282219,"Illinois","Charlotte",0.5664,1,1,0.8531,1,0,0.5819,1,-10.5,54,5,2021,1,0,"Big Ten","Conference USA",-415,310,0,0,0.954545454545455,0.0664,0.805825242718447,0.24390243902439,0.0472747572815534,-0.0970024390243902,1,0,1,1.24096385542169,0.620481927710843,0.0472747572815534,0,0,0.954545454545455,0.0819
"39",0,401282708,"Notre Dame","Cincinnati",0.5466,1,0,0.7064,1,0,0.4921,0,2,50,5,2021,1,0,"FBS Independents","American Athletic",105,-120,0,0,0.954545454545455,0.0466,0.48780487804878,0.545454545454545,0.21859512195122,-0.251854545454545,1,0,0,0,0.916666666666667,0.21859512195122,1,1.90909090909091,0.954545454545455,0.00790000000000002
"40",1,401282650,"North Carolina","Duke",0.5112,1,1,0.9153,1,0,0.4368,0,-19.5,74.5,5,2021,1,0,"ACC","ACC",-1200,700,1,1.90909090909091,0.954545454545455,0.0112,0.923076923076923,0.125,-0.00777692307692313,-0.0403,0,0,0,1,0.541666666666667,-0.00777692307692313,1,1.90909090909091,0.954545454545455,0.0632
"41",1,401309558,"Northern Illinois","Eastern Michigan",0.4334,0,1,0.4421,0,0,0.4452,0,-1.5,62,5,2021,1,0,"Mid-American","Mid-American",-120,-115,0,0,0.954545454545455,0.0666,0.545454545454545,0.534883720930233,-0.103354545454545,0.0230162790697676,0,1,0,0,0.916666666666667,0.0230162790697676,1,1.90909090909091,0.954545454545455,0.0548
"42",1,401282091,"Kentucky","Florida",0.4693,0,1,0.2438,0,0,0.3781,0,7.5,56.5,5,2021,1,0,"SEC","SEC",260,-320,0,0,0.954545454545455,0.0307,0.277777777777778,0.761904761904762,-0.0339777777777778,-0.00570476190476188,0,0,0,1,1.8,-0.00570476190476188,1,1.90909090909091,0.954545454545455,0.1219
"43",1,401310712,"Hawai'i","Fresno State",0.4709,0,1,0.2845,0,0,0.4588,0,10.5,64.5,5,2021,1,0,"Mountain West","Mountain West",310,-415,0,0,0.954545454545455,0.0291,0.24390243902439,0.805825242718447,0.0405975609756097,-0.0903252427184466,1,0,1,4.1,2.05,0.0405975609756097,1,1.90909090909091,0.954545454545455,0.0412
"44",0,401301012,"Tulsa","Houston",0.5306,1,0,0.642,1,1,0.5292,1,-3.5,54,5,2021,1,0,"American Athletic","American Athletic",-170,145,0,0,0.954545454545455,0.0306,0.62962962962963,0.408163265306122,0.0123703703703704,-0.0501632653061225,1,0,0,0,1.225,0.0123703703703704,1,1.90909090909091,0.954545454545455,0.0292
"45",1,401282729,"Penn State","Indiana",0.5406,1,1,0.8821,1,0,0.4349,0,-12.5,54,5,2021,1,0,"Big Ten","Big Ten",-520,375,1,1.90909090909091,0.954545454545455,0.0406,0.838709677419355,0.210526315789474,0.0433903225806451,-0.0926263157894737,1,0,1,1.19230769230769,0.596153846153846,0.0433903225806451,1,1.90909090909091,0.954545454545455,0.0651
"46",0,401282759,"Maryland","Iowa",0.5875,1,0,0.5674,1,1,0.4209,0,3,47.5,5,2021,1,0,"Big Ten","Big Ten",140,-165,0,0,0.954545454545455,0.0875,0.416666666666667,0.622641509433962,0.150733333333333,-0.190041509433962,1,0,0,0,0.803030303030303,0.150733333333333,0,0,0.954545454545455,0.0791
"47",0,401282221,"UAB","Liberty",0.4437,0,0,0.4199,0,0,0.4483,0,-3,49.5,5,2021,1,0,"Conference USA","FBS Independents",-135,115,1,1.90909090909091,0.954545454545455,0.0563,0.574468085106383,0.465116279069767,-0.154568085106383,0.114983720930233,0,1,1,2.15,1.075,0.114983720930233,1,1.90909090909091,0.954545454545455,0.0517
"48",1,401309615,"South Alabama","Louisiana",0.4643,0,0,0.1957,0,0,0.5123,1,12,52.5,5,2021,1,0,"Sun Belt","Sun Belt",360,-500,0,0,0.954545454545455,0.0357,0.217391304347826,0.833333333333333,-0.0216913043478261,-0.0290333333333334,0,0,0,1,0.6,-0.0216913043478261,0,0,0.954545454545455,0.0123
"49",0,401282220,"NC State","Louisiana Tech",0.4727,0,1,0.8464,1,1,0.5281,1,-17.5,56,5,2021,1,0,"ACC","Conference USA",-1100,650,1,1.90909090909091,0.954545454545455,0.0273,0.916666666666667,0.133333333333333,-0.0702666666666666,0.0202666666666666,0,1,0,0,0.545454545454545,0.0202666666666666,1,1.90909090909091,0.954545454545455,0.0281
"50",0,401282651,"Wake Forest","Louisville",0.4803,0,1,0.6837,1,1,0.6501,1,-7,64.5,5,2021,1,0,"ACC","ACC",-280,230,1,1.90909090909091,0.954545454545455,0.0197,0.736842105263158,0.303030303030303,-0.0531421052631579,0.013269696969697,0,1,0,0,0.678571428571429,0.013269696969697,1,1.90909090909091,0.954545454545455,0.1501
"51",1,401282216,"Middle Tennessee","Marshall",0.4513,0,1,0.2405,0,0,0.3879,0,10.5,65.5,5,2021,1,0,"Conference USA","Conference USA",300,-395,0,0,0.954545454545455,0.0487,0.25,0.797979797979798,-0.00950000000000001,-0.0384797979797979,0,0,0,1,2,-0.00950000000000001,1,1.90909090909091,0.954545454545455,0.1121
"52",1,401301015,"Temple","Memphis",0.5608,1,1,0.1875,0,1,0.4924,0,11,59,5,2021,1,0,"American Athletic","American Athletic",320,-430,1,1.90909090909091,0.954545454545455,0.0608,0.238095238095238,0.811320754716981,-0.0505952380952381,0.00117924528301883,0,1,0,0,2.1,0.00117924528301883,0,0,0.954545454545455,0.0076
"53",0,401282776,"Wisconsin","Michigan",0.5702,1,0,0.4024,0,1,0.478,0,-2.5,43.5,5,2021,1,0,"Big Ten","Big Ten",-125,105,0,0,0.954545454545455,0.0702,0.555555555555556,0.48780487804878,-0.153155555555556,0.10979512195122,0,1,1,2.05,1.025,0.10979512195122,0,0,0.954545454545455,0.022
"54",0,401282793,"Purdue","Minnesota",0.5242,1,0,0.5019,1,0,0.6354,1,-2.5,46,5,2021,1,0,"Big Ten","Big Ten",-130,110,0,0,0.954545454545455,0.0242,0.565217391304348,0.476190476190476,-0.0633173913043478,0.0219095238095238,0,1,1,2.1,1.05,0.0219095238095238,0,0,0.954545454545455,0.1354
"55",0,401282095,"Texas A&M","Mississippi State",0.2899,0,0,0.4558,0,1,0.5587,1,-7,45.5,5,2021,1,0,"SEC","SEC",-300,250,1,1.90909090909091,0.954545454545455,0.2101,0.75,0.285714285714286,-0.2942,0.258485714285714,0,1,1,3.5,1.75,0.258485714285714,1,1.90909090909091,0.954545454545455,0.0587
"56",0,401310713,"San José State","New Mexico State",0.3607,0,1,0.7461,1,1,0.5386,1,-25.5,51.5,5,2021,1,0,"Mountain West","FBS Independents",NA,NA,1,1.90909090909091,0.954545454545455,0.1393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.90909090909091,0.954545454545455,0.0386
"57",0,401282813,"Rutgers","Ohio State",0.4534,0,0,0.1844,0,1,0.5694,1,15,58,5,2021,1,0,"Big Ten","Big Ten",475,-700,1,1.90909090909091,0.954545454545455,0.0466,0.173913043478261,0.875,0.0104869565217391,-0.0594,1,0,0,0,0.571428571428571,0.0104869565217391,1,1.90909090909091,0.954545454545455,0.0694
"58",1,401282217,"UTEP","Old Dominion",0.4394,0,1,0.4652,0,1,0.399,0,-5.5,48.5,5,2021,1,0,"Conference USA","Conference USA",-230,190,0,0,0.954545454545455,0.0606,0.696969696969697,0.344827586206897,-0.231769696969697,0.189972413793103,0,1,0,0,0.717391304347826,0.189972413793103,0,0,0.954545454545455,0.101
"59",1,401309864,"Stanford","Oregon",0.3777,0,1,0.1162,0,0,0.487,0,8.5,57.5,5,2021,1,0,"Pac-12","Pac-12",255,-310,0,0,0.954545454545455,0.1223,0.28169014084507,0.75609756097561,-0.16549014084507,0.12770243902439,0,1,0,0,1.775,0.12770243902439,1,1.90909090909091,0.954545454545455,0.013
"60",0,401287916,"West Virginia","Texas Tech",0.4923,0,0,0.6673,1,0,0.4031,0,-7.5,55.5,5,2021,1,0,"Big 12","Big 12",-280,230,1,1.90909090909091,0.954545454545455,0.00769999999999998,0.736842105263158,0.303030303030303,-0.0695421052631578,0.029669696969697,0,1,1,3.3,1.65,0.029669696969697,1,1.90909090909091,0.954545454545455,0.0969
"61",0,401282096,"Vanderbilt","UConn",0.3879,0,1,0.6494,1,1,0.4177,0,-14.5,51,5,2021,1,0,"SEC","FBS Independents",-665,450,1,1.90909090909091,0.954545454545455,0.1121,0.869281045751634,0.181818181818182,-0.219881045751634,0.168781818181818,0,1,0,0,0.575187969924812,0.168781818181818,0,0,0.954545454545455,0.0823
"62",0,401282222,"UTSA","UNLV",0.4595,0,1,0.9452,1,0,0.3732,0,-21.5,55.5,5,2021,1,0,"Conference USA","Mountain West",-1500,775,1,1.90909090909091,0.954545454545455,0.0405,0.9375,0.114285714285714,0.00770000000000004,-0.0594857142857143,1,0,1,1.06666666666667,0.533333333333333,0.00770000000000004,1,1.90909090909091,0.954545454545455,0.1268
"63",0,401309566,"Bowling Green","Akron",0.4723,0,0,0.6646,1,1,0.4288,0,-14,46,6,2021,1,0,"Mid-American","Mid-American",-565,400,1,1.90909090909091,0.954545454545455,0.0277,0.849624060150376,0.2,-0.185024060150376,0.1354,0,1,1,5,2.5,0.1354,0,0,0.954545454545455,0.0712
"64",1,401282103,"Texas A&M","Alabama",0.3318,0,1,0.0777,0,1,0.4574,0,18.5,51,6,2021,1,0,"SEC","SEC",700,-1200,0,0,0.954545454545455,0.1682,0.125,0.923076923076923,-0.0473,-0.000776923076923119,0,0,0,1,4,-0.000776923076923119,0,0,0.954545454545455,0.0426
"65",0,401282100,"Ole Miss","Arkansas",0.4648,0,1,0.6448,1,1,0.5017,1,-5,66.5,6,2021,1,0,"SEC","SEC",-195,165,1,1.90909090909091,0.954545454545455,0.0352,0.661016949152542,0.377358490566038,-0.0162169491525423,-0.0221584905660378,0,0,0,1,0.756410256410256,-0.0162169491525423,1,1.90909090909091,0.954545454545455,0.00170000000000003
"66",0,401309563,"Western Michigan","Ball State",0.4566,0,0,0.714,1,1,0.4881,0,-12.5,57.5,6,2021,1,0,"Mid-American","Mid-American",-500,360,1,1.90909090909091,0.954545454545455,0.0434,0.833333333333333,0.217391304347826,-0.119333333333333,0.068608695652174,0,1,1,4.6,2.3,0.068608695652174,0,0,0.954545454545455,0.0119
"67",0,401309913,"BYU","Boise State",0.5643,1,0,0.8195,1,0,0.4624,0,-6,58,6,2021,1,0,"FBS Independents","Mountain West",-235,195,0,0,0.954545454545455,0.0643,0.701492537313433,0.338983050847458,0.118007462686567,-0.158483050847458,1,0,0,0,1.475,0.118007462686567,1,1.90909090909091,0.954545454545455,0.0376
"68",1,401309565,"Kent State","Buffalo",0.5655,1,1,0.7551,1,1,0.4738,0,-7,66,6,2021,1,0,"Mid-American","Mid-American",-230,190,1,1.90909090909091,0.954545454545455,0.0655,0.696969696969697,0.344827586206897,0.058130303030303,-0.0999275862068966,1,0,1,1.43478260869565,0.717391304347826,0.058130303030303,0,0,0.954545454545455,0.0262
"69",1,401309567,"Ohio","Central Michigan",0.4252,0,0,0.2945,0,0,0.4976,0,5,57.5,6,2021,1,0,"Mid-American","Mid-American",175,-210,0,0,0.954545454545455,0.0748,0.363636363636364,0.67741935483871,-0.0691363636363637,0.0280806451612904,0,1,1,1.47619047619048,0.738095238095238,0.0280806451612904,1,1.90909090909091,0.954545454545455,0.00240000000000001
"70",0,401282224,"Florida International","Charlotte",0.4597,0,0,0.2699,0,1,0.393,0,3.5,60.5,6,2021,1,0,"Conference USA","Conference USA",150,-175,1,1.90909090909091,0.954545454545455,0.0403,0.4,0.636363636363636,-0.1301,0.0937363636363636,0,1,1,1.57142857142857,0.785714285714286,0.0937363636363636,0,0,0.954545454545455,0.107
"71",0,401301019,"UCF","East Carolina",0.6277,1,1,0.7966,1,0,0.4231,0,-10,65.5,6,2021,1,0,"American Athletic","American Athletic",-380,290,0,0,0.954545454545455,0.1277,0.791666666666667,0.256410256410256,0.00493333333333335,-0.0530102564102564,1,0,1,1.26315789473684,0.631578947368421,0.00493333333333335,1,1.90909090909091,0.954545454545455,0.0769
"72",1,401282225,"UAB","Florida Atlantic",0.6667,1,1,0.6707,1,0,0.4964,0,-3.5,49,6,2021,1,0,"Conference USA","Conference USA",-180,155,1,1.90909090909091,0.954545454545455,0.1667,0.642857142857143,0.392156862745098,0.0278428571428571,-0.062856862745098,1,0,1,1.55555555555556,0.777777777777778,0.0278428571428571,1,1.90909090909091,0.954545454545455,0.00359999999999999
"73",0,401282654,"North Carolina","Florida State",0.5568,1,0,0.8901,1,0,0.47,0,-17.5,64.5,6,2021,1,0,"ACC","ACC",-900,575,0,0,0.954545454545455,0.0568,0.9,0.148148148148148,-0.00990000000000002,-0.0382481481481481,0,0,0,1,3.375,-0.00990000000000002,1,1.90909090909091,0.954545454545455,0.03
