"","x"
"198","t2_.rol_play_count_pg_def_l1_oa"
"199","t1_.rol_touchdown_pg_off_l3_diffl20"
"200","t2_rol_pa_pg_l3_diffl20"
"201","t2_rank_tier"
"202","t2_rol_record_ha_l20"
"203","t2_.rol_punt_pg_def_l1_oa"
"204","t2_.rol_run_success_pp_def_l3_oa"
"205","t2_.rol_punt_pg_def_l3_diffl20"
"206","t2_.rol_success_pp_def_l20"
"207","t2_.rol_punt_pg_off_l3_oa_diffl20"
"208","t2_.rol_wpa_pp_def_l1"
"209","t2_.rol_run_wpa_pp_off_l3"
"210","t2_.rol_pass_success_pp_def_l3_oa"
"211","t2_.rol_run_EPA_pp_off_l1"
"212","t2_rol_pf_pg_l3"
"213","t2_.rol_punt_pg_off_l3_diffl20"
"214","t2_.rol_pass_pp_off_l3_oa"
"215","t2_.rol_turnover_pg_off_l1"
"216","t2_.rol_run_success_pp_def_l3_diffl20"
"217","t2_.rol_run_wpa_pp_def_l1"
"218","t2_.rol_touchdown_pg_def_l20"
"219","t2_.rol_success_pp_def_l1_oa"
"220","t2_rol_pa_pg_l20_oa"
"221","t2_.rol_wpa_pp_def_l3_diffl20"
"222","t2_.rol_pass_wpa_pp_off_l1"
"223","t2_.rol_sack_pg_off_l3_diffl20"
"224","t2_.rol_pass_EPA_pp_off_l3"
"225","t2_.rol_pass_pp_def_l1_oa"
"226","t2_.rol_sack_pg_def_l3_oa"
"227","t2_.rol_sack_pg_off_l20_oa"
"228","t2_.rol_sack_pg_def_l20_oa"
"229","t2_rol_pf_pg_ha_l20_oa"
"230","t2_rol_spr_err_l3"
"231","t2_.rol_play_count_pg_def_l3"
"232","t2_.rol_sack_pg_off_l20"
"233","t2_.rol_wpa_pp_def_l3_oa_diffl20"
"234","t2_.rol_run_EPA_pp_def_l1"
"235","t2_.rol_play_count_pg_def_l3_oa_diffl20"
"236","t2_.rol_success_pp_off_l20_oa"
"237","t2_.rol_touchdown_pg_def_l20_oa"
"238","t2_.rol_EPA_pp_def_l3_oa"
"239","t2_.rol_run_EPA_pp_off_l3_diffl20"
"240","t2_.rol_run_wpa_pp_off_l3_oa"
"241","t2_.rol_play_count_pg_def_l20_oa"
"242","t2_.rol_pass_wpa_pp_off_l3_diffl20"
"243","t2_.rol_pass_success_pp_def_l20_oa"
"244","t2_.rol_pass_EPA_pp_off_l20"
"245","t2_.rol_success_pp_def_l3_oa"
"246","t2_.rol_turnover_pg_off_l20_oa"
"247","t2_rol_opp_elo_l3_diffl20"
"248","t2_.rol_pass_wpa_pp_off_l20"
"249","t2_.rol_success_pp_off_l3"
"250","t2_.rol_wpa_pp_off_l3"
"251","t2_.rol_turnover_pg_off_l3_oa"
"252","t2_rol_opp_talent_l3"
"253","t2_.rol_touchdown_pg_off_l3_diffl20"
